year,2012_dollars
1989,1.87628866
1990,1.783505155
1991,1.711340206
1992,1.659793814
1993,1.608247423
1994,1.567010309
1995,1.525773196
1996,1.484536082
1997,1.453608247
1998,1.422680412
1999,1.391752577
2000,1.350515464
2001,1.309278351
2002,1.288659794
2003,1.268041237
2004,1.226804124
2005,1.195876289
2006,1.154639175
2007,1.12371134
2008,1.082474227
2009,1.082474227
2010,1.06185567
2011,1.030927835
2012,1
2013,0.980392157
